main_id,ra,dec,sp_type
SDSS J205420.95+002728.5,313.58733231445,0.45794513932000014,M1V
SDSS J133359.08+400438.9,203.49612755557,40.077531899769994,M8
SIPS J2033-3733,308.4446469301299,-37.562345349750004,M5.0
SIPS J2335-3401,353.95903325418993,-34.029938651189994,M6:
UCAC4 713-044985,103.17122740999459,52.520338294817776,M2
2MASS J10364669+5929337,159.194602156,59.49268858984999,M6V
2MASS J12355911+1429107,188.99627916684,14.486268772189998,M7V
SDSS J235833.83-005704.2,359.6409880664791,-0.9511770472177777,M1V
UCAC4 557-024089,92.25721314986085,21.31843845467333,M2e
2MASS J10390965+5937453,159.79022766138,59.6292555864,M0V
UVEX J205449.65+371953.2,313.7068756267506,37.33144696055117,M5V
UCAC4 557-025250,93.96585657380544,21.396186786622778,M2e
2MASS J08062548+4245282,121.60618900000001,42.757850999999995,M2
UCAC4 444-001732,20.970515032790416,-1.378458960191389,M2
2MASS J12354294+1447149,188.92888201564998,14.787494285720005,M7V
SDSS J214627.08-003422.8,326.61287545678,-0.57300637653,M0V
2MASS J22080121-0111419,332.005065,-1.1949950000000003,M3e
2MASS J00335394+4205218,8.474782000000001,42.089397000000005,M3e
2MASS J10335171+5939525,158.46545089439,59.664598081639994,M6V
2MASS J05311559+2818276,82.81496399999999,28.307667000000002,M3
SDSS J232215.84+532553.2,350.56607510185,53.43145839106,M1V
2MASS J22092527+2502054,332.35528013864456,25.034876904165557,M3
2MASS J06272687+2922071,96.861984,29.36866,M3e
V* V840 Ara,249.28543720981,-52.38169753063,M2/3III
2MASS J06263775+2916426,96.657313,29.278503,M3
2MASS J10363786+5956033,159.15763935883,59.93439639748,M0V
2MASS J10365093+6003534,159.21230775204,60.06486347023001,M6V
UCAC4 635-004911,22.615025821390418,36.82042328276723,M2
V* RU TrA,249.61565248606,-68.54168648357,Me
2MASS J13332305+4027128,203.34605582786,40.453582160569994,M5V
SDSS J031708.96+412420.5,49.287265535830414,41.405803993599996,M1V
SDSS J103447.96+413344.9,158.69995561355,41.56258973886,M0V
SDSS J133244.89+403012.6,203.18704331372,40.5035238279,M5
UPM J1055-7356,163.81377283026,-73.93585979149,M7
2MASS J12380201+1506143,189.50831597126998,15.103999525160003,M6V
2MASS J13324254+4047122,203.17724292797,40.78673293896999,M3V
SDSS J112730.26+410418.6,171.8760913333333,41.07184783333334,M1V
2MASS J10463303+6030369,161.63761593158,60.51024320639001,M6V
2MASS J10421777+6030193,160.5740350285,60.50531372777,M7V
UCAC4 578-003720,25.2321558789425,25.561863924971945,M2
SDSS J112940.22+435843.7,172.4175000099,43.97899079988,M3V
BD+35  2837,248.80553916612996,35.55025225293,M0
SDSS J132538.50+402106.0,201.41035408821998,40.351753736080006,M9e
V* V900 Her,248.90297394265,21.30534855747,M0
SDSS J103451.37+600630.6,158.71408912358999,60.10852583834,M1V
LP   92-171,157.88366963585,60.05995799350999,M4
2MASS J10324051+6013485,158.168797525,60.23012506580001,M9V
2MASS J10382406+6034357,159.60043692687,60.576537163,M7V
V* V901 Her,248.89043960548997,26.474299214379997,M0
2MASS J10312193+6005400,157.84141956325,60.09445197034,M4V
2MASS J10335392+6022431,158.47472353672,60.378628593399995,M7V
SDSS J215400.24+001831.0,328.50102197556834,0.3086149885033333,M2V
SDSS J100113.55+515413.4,150.30653118697,51.9037438755,M0V
SDSS J124843.72-004345.9,192.1821724539659,-0.7294117013727,M7
SDSS J132905.94+404523.3,202.27486974016,40.75643394576,M8
2MASS J10405849+6047033,160.24378158232,60.78430482264,M7V
SDSS J104146.76+605800.1,160.44494737046,60.96676229546,M7
LSPM J1039+6046,159.88394711748,60.76860283861,M2V
2MASS J10395148+6058391,159.96460410556,60.97748553824,M0V
2MASS J13284879+4103063,202.20324798915,41.05175290124,M5V
2MASS J13292930+4113588,202.37206950942996,41.23299998961,M4V
HD 149517,249.31060566406995,-42.12624722274,M1
2MASS J10183072+5933384,154.62799943454,59.56060704094001,M6V
2MASS J14141039+3022214,213.54348102636,30.37262252408,M7V
HD 149408,249.53102616590996,-59.74392632048001,M2/3
2MASS J14150330+3028197,213.76377942639,30.472120973300004,M3V
2MASS J10181468+5948336,154.56108061345,59.809357121859996,M7V
2MASS J10194382+5957318,154.932709336,59.95882197556999,M6V
SDSS J165726.23+214450.7,254.35925002753748,21.747445316589722,M9
2MASS J18205562-3426455,275.231768,-34.445999,M8
2MASS J10184121+6002527,154.67170457651,60.04793776391,M7V
2MASS J14130456+3028236,213.26903880632997,30.47320477896,M2V
UCAC4 283-186318,275.62765749607,-33.45810733361,M4.75
2MASS J10251251+5958569,156.3021891752,59.982461774680004,M6V
SDSS J102327.16+600241.5,155.863172464,60.0448654392,M0V
2MASS J14153072+3054507,213.87803980285997,30.91410581597,M3V
V* V3166 Sgr,275.63032860000004,-33.4577873,M2.5/M2.75
HD 325823,249.36995221889998,-43.25512939586,M0
UCAC4 732-025209,38.920954996974174,56.20381723150556,M3
2MASS J12313840+1412554,187.91000869606998,14.21542652957,M3V
2MASS J14192882+3114151,214.87005066673,31.237536903199995,M7V
2MASS J18270760-3351133,276.78168028932544,-33.85374420541473,M6.75
2MASS J18272891-3502564,276.87047899999993,-35.049007,M0.75
2MASS J10170985+6009145,154.29110961932,60.154052519770005,M6V
2MASS J18285778-3315584,277.24080957387037,-33.26626292931555,M6.75
UCAC4 689-017085,40.39147739811625,47.712188044954736,M0
IRAS 05274+2758,82.66570379161,28.013687589959996,M7
2MASS J10062962+6214172,151.62345341194,62.23809193988999,M7V
2MASS J12294650+1407016,187.44373252192997,14.11706857681,M3V
StRS 297,290.76734283883,14.798583474650002,M1:(I)
G   7-34,64.32722355970958,8.822781971202224,M5V
BD+42  2728,248.93115397701996,42.39582519484,M5
2MASS J14184434+3145128,214.68488811951,31.75354886525001,M7V
V* V1061 Sco,249.41697332020993,-42.95131971618,M1
2MASS J14173337+3146253,214.38908379767,31.773702741490006,M2V
