pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"rho CrB d",0.8270000000,0.000000,0.06796120,4.94000000,"rho CrB",5817.00,1.340000,0.950000
"rho CrB e",0.1061000000,0.126000,0.01192467,1.77000000,"rho CrB",5817.00,1.340000,0.950000
"HD 20794 f",1.3541000000,0.450000,0.01831177,2.28000000,"HD 20794",5368.00,0.930000,0.790000
"55 Cnc B b",0.0440000000,0.000000,0.01101223,1.69000000,"55 Cnc B",3286.00,0.274000,0.260000
"55 Cnc B c",0.1300000000,0.000000,0.01667566,2.16000000,"55 Cnc B",3286.00,0.274000,0.260000
"GJ 3090 c",0.0997000000,0.000000,0.03146352,3.14000000,"GJ 3090",3707.00,0.516000,0.519000
"HD 85426 c",,0.060000,0.03240742,3.19000000,"TOI-1774",5746.00,1.130300,0.991000
"GJ 4274 b",0.0153000000,,0.00934467,1.53000000,"GJ 4274",3228.00,0.190000,0.180000
"GJ 4274 c",0.1860000000,,0.02639789,2.83000000,"GJ 4274",3228.00,0.190000,0.180000
"Kepler-1369 b",0.1741000000,0.000000,0.02420000,2.69000000,"Kepler-1369",5761.00,0.990000,0.990000
"XO-3 b",0.0476000000,0.290000,7.29000000,15.80469000,"XO-3",6429.00,1.540000,0.580000
"Kepler-1644 b",0.1420000000,0.000000,0.01320000,1.88000000,"Kepler-1644",5499.00,0.860000,0.890000
"Kepler-1249 b",0.1670000000,0.000000,0.01970000,2.38000000,"Kepler-1249",6202.00,1.280000,1.190000
"WASP-78 b",0.0348800000,0.000000,1.11000000,21.63337000,"WASP-78",6100.00,2.460000,1.870000
"WASP-39 b",0.0482800000,0.000000,0.28100000,14.33631100,"WASP-39",5485.00,0.939000,0.913000
"WASP-36 b",0.0267700000,0.000000,2.36100000,14.87434300,"WASP-36",5959.00,0.985000,1.081000
"WASP-43 b",0.0142000000,0.000000,1.78000000,10.42400000,"WASP-43",4400.00,0.600000,0.580000
"GJ 1132 c",0.0476000000,0.270000,0.00830633,1.43000000,"GJ 1132",3270.00,0.210500,0.181000
"KIC 9663113 b",1.5534600000,0.000000,0.06030000,4.60000000,"KIC 9663113",6065.00,1.030000,0.980000
"Kepler-12 b",0.0553000000,0.000000,0.43200000,19.66058600,"Kepler-12",5947.00,1.483000,1.166000
"HAT-P-24 b",0.0465100000,0.070000,0.75000000,14.57170000,"HAT-P-24",6373.00,1.380000,1.370000
"Kepler-792 b",0.0988000000,0.000000,0.01420000,1.96000000,"Kepler-792",5971.00,1.120000,1.090000
"Kepler-539 b",0.4988000000,0.390000,0.97000000,8.37312300,"Kepler-539",5820.00,0.952000,1.048000
"K2-165 d",,,0.02360000,2.64809498,"K2-165",5185.00,0.803827,0.834847
"Kepler-1254 c",0.0422000000,0.000000,0.00705000,1.30000000,"Kepler-1254",4985.00,0.750000,0.780000
"Kepler-1674 b",0.3017000000,0.000000,0.03260000,3.20577490,"Kepler-1674",5473.91,0.877273,0.960000
"WASP-189 b",0.0505300000,0.000000,1.99000000,18.14733975,"WASP-189",8000.00,2.360000,2.030000
"WASP-41 b",0.0402200000,0.000000,0.85000000,12.32990000,"WASP-41",5545.00,0.830000,0.810000
"Kepler-255 c",0.0920000000,0.000000,0.02900000,2.99000000,"Kepler-255",5573.00,0.933000,0.867000
"Kepler-1238 b",0.0541000000,0.000000,0.01380000,1.93000000,"Kepler-1238",6386.00,1.480000,1.300000
"Ross 176 b",0.0464000000,0.250000,0.01437883,1.84000000,"Ross 176",4041.00,0.569000,0.577000
"TOI-5422 b",0.0619000000,0.094000,28.00000000,9.10169233,"TOI-5422",5820.00,1.474000,1.066000
"Kepler-5 b",0.0538000000,0.000000,2.11100000,15.98403400,"Kepler-5",6297.00,1.793000,1.374000
"WASP-107 c",,0.280000,0.36000000,13.20000000,"WASP-107",4425.00,0.670000,0.683000
"WASP-18 c",0.0350000000,0.015000,0.17367775,8.58000000,"WASP-18",6400.00,1.230000,1.220000
"TOI-1743 b",0.0358900000,,0.01260000,1.83000000,"TOI-1743",3277.00,0.338000,0.339000
"Proxima Cen d",0.0288100000,0.000000,0.00081805,0.69200000,"Proxima Cen",2900.00,0.141000,0.122100
"HAT-P-2 c",,0.370000,10.70000000,12.40000000,"HAT-P-2",6412.00,1.416000,1.330000
"HATS-41 b",0.0583000000,0.380000,9.70000000,14.90797000,"HATS-41",6424.00,1.710000,1.496000
"Kepler-933 b",0.1041000000,0.000000,0.02080000,2.46000000,"Kepler-933",5346.00,0.840000,0.870000
"Kepler-1240 b",0.0579100000,0.000000,0.00505000,1.15000000,"Kepler-1240",5682.00,0.960000,0.980000
"K2-80 c",0.0596000000,,0.00869000,1.47000000,"K2-80",5441.00,0.870000,0.900000
"Kepler-891 b",0.2881000000,0.000000,0.10600000,6.41000000,"Kepler-891",5887.00,1.070000,1.060000
"Kepler-1605 b",0.3656700000,0.000000,0.00403000,1.08000000,"Kepler-1605",5280.00,0.820000,0.860000
"HD 80913 b",9.9500000000,0.313000,23.61400000,12.00000000,"HD 80913",6013.24,1.654200,1.110000
"Kepler-1984 b",0.0238000000,0.000000,0.11700000,6.81000000,"Kepler-1984",3638.00,0.420000,0.450000
"Kepler-598 c",0.3667200000,0.000000,0.02960000,3.02420941,"Kepler-598",5245.00,0.900316,0.900000
"HAT-P-29 b",0.0667000000,0.090000,0.88000000,13.11453000,"HAT-P-29",6087.00,1.300000,1.450000
"Kepler-288 d",0.2870000000,0.000000,0.02390000,2.67000000,"Kepler-288",5918.00,1.091000,0.842000
"Kepler-264 c",0.5660000000,0.000000,0.02640000,2.83000000,"Kepler-264",6158.00,1.550000,1.426000
"Kepler-1786 b",0.3572200000,0.000000,0.03190000,3.16305828,"Kepler-1786",5808.00,1.397000,1.058000
"Kepler-1119 b",0.0812000000,0.000000,0.01370000,1.92000000,"Kepler-1119",6083.00,1.170000,1.110000
"Kepler-49 d",0.0310000000,0.000000,0.74248240,1.60000000,"Kepler-49",4252.00,0.559000,0.549000
"GJ 687 c",1.1650000000,0.400000,0.05034138,4.14000000,"GJ 687",3413.00,0.418300,0.400000
"Kepler-1465 b",0.1939000000,0.000000,0.01190000,1.77000000,"Kepler-1465",4726.00,0.710000,0.750000
"Kepler-1844 b",0.0478000000,0.000000,0.02980000,3.03648191,"Kepler-1844",5776.00,0.849000,0.939000
"Kepler-1036 b",0.4772600000,0.000000,0.02930000,3.01000000,"Kepler-1036",5533.00,0.890000,0.950000
"Kepler-358 b",0.2100000000,0.000000,0.02470000,2.72000000,"Kepler-358",5908.00,0.954000,0.940000
"HD 206893 c",3.5300000000,0.410000,12.70000000,16.36511182,"HD 206893",6500.00,1.311160,1.320000
"HD 202772 A b",0.0520800000,0.038000,1.01700000,17.31790500,"HD 202772 A",6272.00,2.591000,1.720000
"Kepler-1179 b",0.0349700000,0.000000,0.00724000,1.32000000,"Kepler-1179",5212.00,0.810000,0.840000
"Kepler-1544 b",0.5446500000,0.000000,0.01200000,1.78000000,"Kepler-1544",4886.00,0.740000,0.810000
"G 192-15 c",1.1370000000,0.676000,0.04499283,3.87000000,"G 192-15",2999.00,0.170718,0.132000
